allianceid,cusip1,cusip2,effective,licensing,exlicensing,manufacturing,oem,marketing,rnd,strategic,supply,techtrans,cballiance,jv
348,459200,12980A,1990-04-03,0,0,0,0,1,0,1,0,0,0,0
349,36229Z,05021W,1990-04-03,0,0,0,0,0,0,0,0,0,0,1
350,38172L,23802R,1990-04-04,0,0,0,0,0,0,0,0,0,0,1
351,959805,459200,1990-04-04,0,0,0,0,1,0,1,0,0,0,0
352,65443A,285512,1990-04-05,1,0,0,0,1,0,1,0,1,0,0
353,255904,208547,1990-04-05,0,0,0,0,0,0,1,1,0,0,0
354,74726G,458729,1990-04-05,0,0,0,0,1,0,1,0,0,0,0
355,65481A,256153,1990-04-05,0,0,0,0,0,0,1,0,0,0,0
356,694032,204672,1990-04-09,0,0,0,0,1,0,1,0,0,0,0
357,900262,89603Q,1990-04-09,0,0,0,0,0,0,0,0,0,0,1
358,826197,16958T,1990-04-09,0,0,1,0,1,1,1,0,0,0,0
359,58445X,317902,1990-04-09,0,0,0,0,1,0,1,0,0,0,0
360,565105,052769,1990-04-10,0,0,0,0,1,0,1,0,0,0,0
361,23304R,052769,1990-04-10,0,0,0,0,1,0,1,0,0,0,0
362,36233M,004833,1990-04-10,0,0,1,0,0,0,0,0,0,0,1
363,44841T,126830,1990-04-10,0,0,0,0,0,0,0,0,0,0,1
364,670006,545700,1990-04-10,0,0,0,0,1,0,1,0,0,0,0
364,98090P,545700,1990-04-10,0,0,0,0,1,0,1,0,0,0,0
364,98090P,670006,1990-04-10,0,0,0,0,1,0,1,0,0,0,0
365,53982N,456779,1990-04-10,0,0,0,0,1,0,1,0,0,0,0
366,871873,00207C,1990-04-11,0,0,0,0,0,0,1,0,0,0,0
367,253849,25156M,1990-04-11,0,0,0,0,0,0,1,0,0,0,0
368,958102,459200,1990-04-11,1,0,1,0,0,0,1,0,1,0,0
369,620076,002058,1990-04-13,0,0,0,0,0,0,1,0,0,0,0
370,74726C,03017T,,1,0,1,0,1,0,1,0,0,0,0
371,866810,44923B,1990-04-15,0,0,0,0,0,0,1,0,0,0,0
372,912889,82027M,,0,0,0,0,0,0,0,0,0,0,1
373,052769,03819C,1990-04-15,0,0,0,0,0,0,1,0,0,0,0
374,871609,17275R,1990-04-16,1,0,0,0,0,1,1,0,0,0,0
375,875370,29288X,1990-04-16,0,0,0,0,1,0,0,0,0,0,1
376,835699,68377A,1990-04-16,0,0,0,0,0,0,1,0,0,0,0
377,875370,29078C,1990-04-16,0,0,0,0,0,0,0,0,0,0,1
378,04036Q,00724I,1990-04-16,0,0,0,0,1,0,1,0,0,0,0
379,826197,54140B,1990-04-16,0,0,0,0,0,0,1,0,0,0,0
380,819882,73966X,1990-04-17,0,0,1,0,0,0,1,0,0,0,0
381,681919,25409Z,1990-04-17,0,0,0,0,0,0,1,0,0,0,0
382,866810,67076L,1990-04-17,0,0,0,0,1,0,1,0,0,0,0
383,76129E,12490X,1990-04-17,0,0,0,0,1,0,1,0,0,0,0
384,669954,29482M,1990-04-19,1,0,1,0,0,0,1,0,0,0,0
385,862683,17275R,1990-04-23,0,0,0,0,0,1,1,0,0,0,0
386,78132T,253849,1990-04-23,0,0,1,0,0,0,1,0,0,0,0
387,670768,545700,1990-04-23,0,0,0,0,0,0,1,0,1,0,0
388,92343C,260561,1990-04-23,0,0,0,0,1,0,1,0,0,0,0
389,57611F,44841R,1990-04-24,0,0,0,0,0,0,0,0,0,0,1
389,600813,44841R,1990-04-24,0,0,0,0,0,0,0,0,0,0,1
389,600813,57611F,1990-04-24,0,0,0,0,0,0,0,0,0,0,1
389,69489T,44841R,1990-04-24,0,0,0,0,0,0,0,0,0,0,1
389,69489T,57611F,1990-04-24,0,0,0,0,0,0,0,0,0,0,1
389,69489T,600813,1990-04-24,0,0,0,0,0,0,0,0,0,0,1
390,459200,25256R,1990-04-24,0,0,0,0,1,0,1,0,0,0,0
391,594918,204493,1990-04-24,0,0,0,0,0,0,1,1,0,0,0
392,81370A,253849,1990-04-24,1,0,0,0,0,0,1,0,1,0,0
393,882508,253849,1990-04-24,0,0,0,0,0,0,1,0,0,0,0
394,681062,24344T,1990-04-24,0,0,0,0,1,0,1,0,0,0,0
395,887360,499040,1990-04-25,0,0,0,0,0,0,0,0,0,0,1
396,78387X,26868T,1990-04-29,0,0,0,0,0,0,0,0,0,0,1
397,65443V,58445V,1990-04-30,1,0,0,0,1,0,1,0,1,0,0
398,88259X,46488T,1990-04-30,0,0,0,0,1,0,1,0,0,0,0
399,88259X,46488F,1990-04-30,0,0,0,0,1,0,1,0,0,0,0
400,74730K,587200,1990-04-30,0,0,1,0,1,0,1,0,0,0,0
401,81942T,64121W,1990-04-30,0,0,1,0,0,0,0,0,0,0,1
401,81942W,64121W,1990-04-30,0,0,1,0,0,0,0,0,0,0,1
401,81942W,81942T,1990-04-30,0,0,1,0,0,0,0,0,0,0,1
402,54140Q,13187F,1990-04-30,0,0,0,0,0,1,1,0,0,0,0
403,928497,007903,1990-05-01,0,0,1,0,0,0,1,0,0,0,0
404,796050,038222,1990-05-01,0,0,0,0,0,1,1,0,0,0,0
405,47108N,36828I,1990-05-01,0,0,0,0,1,0,1,0,0,0,0
406,517903,01642B,1990-05-03,0,0,1,0,0,0,1,0,0,0,0
407,52989A,36189A,1990-05-03,0,0,0,0,0,0,1,0,0,0,0
408,552673,05534B,1990-05-07,0,0,0,0,0,0,0,0,0,0,1
408,87955D,05534B,1990-05-07,0,0,0,0,0,0,0,0,0,0,1
408,87955D,552673,1990-05-07,0,0,0,0,0,0,0,0,0,0,1
409,587200,54140B,1990-05-07,0,0,0,0,1,0,1,0,0,0,0
410,817338,63887L,1990-05-07,0,0,0,0,1,0,1,0,0,0,0
411,871130,40413X,1990-05-07,0,0,0,0,1,0,0,0,0,0,1
412,871508,17291B,1990-05-08,0,0,0,0,1,0,1,0,0,0,0
413,45921L,36291Q,1990-05-08,0,0,0,0,0,0,0,0,0,0,1
414,681062,46528T,1990-05-08,0,0,1,0,0,0,0,0,0,0,1
415,594918,066908,1990-05-08,0,0,0,0,0,0,1,0,0,0,0
416,83616P,247025,1990-05-09,0,0,0,0,1,0,1,0,0,0,0
417,74280T,043009,1990-05-09,0,0,0,0,1,0,1,0,0,0,0
418,827058,678492,1990-05-14,1,0,1,0,1,0,1,0,1,0,0
419,587200,451716,1990-05-14,0,0,0,0,0,0,1,0,0,0,0
420,904568,513737,1990-05-14,0,0,0,0,0,0,1,0,1,0,0
421,826197,29482M,1990-05-14,0,0,0,0,0,0,0,0,0,0,1
422,827066,459200,1990-05-15,0,0,0,0,0,0,0,0,0,0,1
423,796050,552715,1991-01-07,0,0,1,0,0,0,0,0,0,0,1
424,60473M,40018E,1990-05-16,0,0,0,0,0,0,0,0,0,0,1
425,87229A,811046,1990-05-16,0,0,0,0,0,0,0,0,0,0,1
425,900262,811046,1990-05-16,0,0,0,0,0,0,0,0,0,0,1
425,900262,87229A,1990-05-16,0,0,0,0,0,0,0,0,0,0,1
426,43351T,01373X,1990-05-17,0,0,1,0,0,0,0,0,0,0,1
427,87890Z,87223T,1990-05-18,0,0,0,0,1,0,1,0,0,0,0
428,359590,225224,1990-05-21,1,0,0,0,0,0,1,0,0,1,0
429,86214Q,030177,1990-05-21,0,0,0,0,0,0,1,0,1,0,0
430,778304,63947F,1990-05-21,0,0,1,0,0,0,1,0,0,0,0
431,63947F,127387,1990-05-21,0,0,1,0,0,0,1,0,0,0,0
432,46602Y,42232Q,1990-05-23,0,0,1,0,0,0,0,0,0,0,1
433,44553N,210904,1990-05-24,0,0,0,0,0,0,0,0,0,0,1
434,79587B,690484,1990-05-24,1,0,1,0,1,0,0,0,1,0,1
434,87875A,690484,1990-05-24,1,0,1,0,1,0,0,0,1,0,1
